cid,bdate,gen
NASAW00012797,19/2/1965,Male
NASAW00012798,13/7/1973,Male
NASAW00012799,9/12/1984,Male
NASAW00012800,18/9/1973,Female
NASAW00012801,4/7/1973,Female
NASAW00012802,16/10/1973,Male
NASAW00012803,15/9/1973,Female
NASAW00012804,2/12/1973,Female
NASAW00012805,11/12/1973,Male
NASAW00012806,15/9/1973,Male
NASAW00012807,1/2/1974,Female
NASAW00012808,8/11/1973,Male
NASAW00012809,21/3/1973,Female
NASAW00012810,25/1/1932,Male
NASAW00012811,16/4/1978,Male
NASAW00012812,17/2/1973,Female
NASAW00012813,7/5/1973,Male
NASAW00012814,4/10/1983,Female
NASAW00012815,23/12/1972,Female
NASAW00012816,20/6/1977,Female
NASAW00012817,9/8/1971,Male
NASAW00012818,18/8/1971,Male
NASAW00012819,19/4/1977,Male
NASAW00012820,9/8/1971,Male
NASAW00012821,11/6/1978,Male
NASAW00012822,20/5/1978,Female
NASAW00012823,16/5/1933,Female
NASAW00012824,3/11/1971,Male
NASAW00012825,20/7/1971,Male
NASAW00012826,4/1/1971,Male
NASAW00012827,12/1/1971,Male
NASAW00012828,1/6/1975,Female
NASAW00012829,11/1/1970,Male
NASAW00012830,23/6/1970,Male
NASAW00012831,12/1/1975,Female
NASAW00012832,19/10/1969,Male
NASAW00012833,13/1/1975,Female
NASAW00012834,10/3/1975,Female
NASAW00012835,21/3/1969,Male
NASAW00012836,30/8/1968,Male
NASAW00012837,27/3/1939,Female
NASAW00012838,8/11/1971,Male
NASAW00012839,16/12/1971,Female
NASAW00012840,8/8/1945,Female
NASAW00012841,20/8/1976,Female
NASAW00012842,30/8/1981,Male
NASAW00012843,30/1/1971,Female
NASAW00012844,25/9/1970,Male
NASAW00012845,24/11/1976,Female
NASAW00012846,3/1/1970,Female
NASAW00012847,14/1/1970,Male
NASAW00012848,2/5/1970,Female
NASAW00012849,22/2/1974,Male
NASAW00012850,4/12/1982,Male
NASAW00012851,25/3/1985,Female
NASAW00012852,3/8/1984,Female
NASAW00012853,21/2/1969,Female
NASAW00012854,19/11/1968,Male
NASAW00012855,2/8/1968,Male
NASAW00012856,1/10/1979,Female
NASAW00012857,13/2/1969,Male
NASAW00012858,19/10/1967,Female
NASAW00012859,14/2/1968,Female
NASAW00012860,21/3/1973,Female
NASAW00012861,21/3/1973,Female
NASAW00012862,11/8/1983,Female
NASAW00012863,22/2/1984,Male
NASAW00012864,31/10/1983,Female
NASAW00012865,21/9/1981,Female
NASAW00012866,15/12/1980,Female
NASAW00012867,16/1/1981,Female
NASAW00012868,9/11/1980,Female
NASAW00012869,22/9/1981,Female
NASAW00012870,19/3/1982,Male
NASAW00012871,5/4/1982,Female
NASAW00012872,7/11/1980,Female
NASAW00012873,17/3/1980,Female
NASAW00012874,4/3/1980,Female
NASAW00012875,11/11/1964,Female
NASAW00012876,18/1/1965,Male
NASAW00012877,1/11/1964,Male
NASAW00012878,14/3/1978,Male
NASAW00012879,13/7/1983,Male
NASAW00012880,11/3/1979,Male
NASAW00012881,14/5/1979,Female
NASAW00012882,24/9/1978,Male
NASAW00012883,5/5/1977,Female
NASAW00012884,8/11/1976,Female
NASAW00012885,11/8/1982,Male
NASAW00012886,30/10/1982,Female
NASAW00012887,12/8/1976,Male
NASAW00012888,5/10/1982,Female
NASAW00012889,26/5/1977,Male
NASAW00012890,15/1/1977,Male
NASAW00012891,13/10/1976,Female
NASAW00012892,8/10/1977,Male
NASAW00012893,2/10/1977,Female
NASAW00012894,4/2/1978,Female
NASAW00012895,4/10/1975,Female
NASAW00012896,12/7/1981,Female
NASAW00012897,6/7/1975,Female
NASAW00012898,8/3/1976,Female
NASAW00012899,8/1/1976,Female
NASAW00012900,3/12/1975,Male
NASAW00012901,12/8/1974,Male
NASAW00012902,20/10/1974,Female
NASAW00012903,28/9/1980,Female
NASAW00012904,16/2/1980,Male
NASAW00012905,10/3/1975,Female
NASAW00012906,15/2/1977,Male
NASAW00012907,22/5/1977,Female
NASAW00012908,8/9/1976,Male
NASAW00012909,21/5/1982,Female
NASAW00012910,4/8/1976,Male
NASAW00012911,21/4/1986,Male
NASAW00012912,22/9/1973,Female
NASAW00012913,19/2/1979,Male
NASAW00012914,5/10/1983,Female
NASAW00012915,16/9/1972,Female
NASAW00012916,19/5/1981,Female
NASAW00012917,30/8/1975,Female
NASAW00012918,9/2/1981,Female
NASAW00012919,6/1/1973,Male
NASAW00012920,12/3/1973,Female
NASAW00012921,31/12/1971,Male
NASAW00012922,9/9/1982,Female
NASAW00012923,18/2/1972,Male
NASAW00012924,7/4/1972,Male
NASAW00012925,9/8/1977,Female
NASAW00012926,15/1/1972,Female
NASAW00012927,11/12/1971,Female
NASAW00012928,10/5/1975,Female
NASAW00012929,2/9/1974,Female
NASAW00012930,13/11/1974,Female
NASAW00012931,4/4/1975,Female
NASAW00012932,10/5/1975,Male
NASAW00012933,7/2/1980,Male
NASAW00012934,8/11/1980,Male
NASAW00012935,30/4/1980,Male
NASAW00012936,24/9/1970,Female
NASAW00012937,1/1/1976,Female
NASAW00012938,8/8/1970,Male
NASAW00012939,30/9/1970,Male
NASAW00012940,21/9/1970,Male
NASAW00012941,6/5/1976,Female
NASAW00012942,11/11/1976,Female
NASAW00012943,17/8/1970,Male
NASAW00012944,18/1/1971,Male
NASAW00012945,21/9/1970,Female
NASAW00012946,3/6/1971,Male
NASAW00012947,16/8/1969,Male
NASAW00012948,29/9/1975,Male
NASAW00012949,18/6/1970,Female
NASAW00012950,14/4/1970,Female
NASAW00012951,2/12/1974,Male
NASAW00012952,12/12/1979,Female
NASAW00012953,11/5/1969,Female
NASAW00012954,19/2/1968,Male
NASAW00012955,9/3/1968,Female
NASAW00012956,7/3/1973,Male
NASAW00012957,23/2/1968,Female
NASAW00012958,24/1/1968,Female
NASAW00012959,20/5/1973,Female
NASAW00012960,8/11/1973,Female
NASAW00012961,11/5/1973,Female
NASAW00012962,18/4/1973,Female
NASAW00012963,20/4/1979,Male
NASAW00012964,10/5/1973,Male
NASAW00012965,19/3/1967,Male
NASAW00012966,6/9/1966,Male
NASAW00012967,8/10/1966,Male
NASAW00012968,14/6/1978,Female
NASAW00012969,30/11/1965,Male
NASAW00012970,14/1/1966,Female
NASAW00012971,30/8/1965,Male
NASAW00012972,18/6/1978,Female
NASAW00012973,8/3/1978,Male
NASAW00012974,27/8/1972,Male
NASAW00012975,15/10/1972,Male
NASAW00012976,18/12/1972,Male
NASAW00012977,19/2/1978,Female
NASAW00012978,15/5/1934,Female
NASAW00012979,16/2/1966,Female
NASAW00012980,10/2/1965,Male
NASAW00012981,13/10/1964,Male
NASAW00012982,13/11/1974,Female
NASAW00012983,17/12/1969,Female
NASAW00012984,6/8/1963,Male
NASAW00012985,8/11/1963,Female
NASAW00012986,6/3/1964,Female
NASAW00012987,8/5/1980,Female
NASAW00012988,23/1/1980,Female
NASAW00012989,13/5/1975,Female
NASAW00012990,14/4/1975,Female
NASAW00012991,9/3/1979,Male
NASAW00012992,18/10/1979,Male
NASAW00012993,23/12/1979,Male
NASAW00012994,7/10/1975,Female
NASAW00012995,1/3/1976,Male
NASAW00012996,10/11/1975,Female
NASAW00012997,8/11/1973,Female
NASAW00012998,7/1/1979,Female
NASAW00012999,17/12/1972,Female
NASAW00013000,16/9/1980,Male
NASAW00013001,6/3/1975,Male
NASAW00013002,18/2/1973,Male
NASAW00013003,16/1/1978,Female
NASAW00013004,31/10/1972,Male
NASAW00013005,12/2/1972,Female
NASAW00013006,19/10/1971,Female
NASAW00013007,4/4/1971,Female
NASAW00013008,5/7/1976,Male
NASAW00013009,8/9/1970,Female
NASAW00013010,12/8/1976,Female
NASAW00013011,1/11/1970,Female
NASAW00013012,24/3/1971,Female
NASAW00013013,8/5/1970,Male
NASAW00013014,6/1/1985,Male
NASAW00013015,8/1/1974,Female
NASAW00013016,1/1/1974,Male
NASAW00013017,15/8/1984,Male
NASAW00013018,10/4/1950,Male
NASAW00013019,28/8/1984,Female
NASAW00013020,7/11/1950,Male
NASAW00013021,6/1/1952,Female
NASAW00013022,20/2/1953,Male
NASAW00013023,26/8/1952,Female
NASAW00013024,5/9/1952,Male
NASAW00013025,18/5/1953,Male
NASAW00013026,9/10/1964,Female
NASAW00013027,10/6/1983,Male
NASAW00013028,17/3/1983,Male
NASAW00013029,5/3/1983,Female
NASAW00013030,10/1/1983,Female
NASAW00013031,16/8/1982,Male
NASAW00013032,7/10/1982,Male
NASAW00013033,20/5/1982,Male
NASAW00013034,27/8/1954,Female
NASAW00013035,2/5/1956,Female
NASAW00013036,3/8/1955,Female
NASAW00013037,22/4/1961,Male
NASAW00013038,28/1/1961,Male
NASAW00013039,17/2/1986,Female
NASAW00013040,12/9/1973,Male
NASAW00013041,4/5/1957,Male
NASAW00013042,20/3/1957,Female
NASAW00013043,23/10/1957,Female
NASAW00013044,22/7/1957,Female
NASAW00013045,9/5/1969,Female
NASAW00013046,4/4/1958,Male
NASAW00013047,30/8/1963,Male
NASAW00013048,24/12/1957,Female
NASAW00013049,3/1/1959,Female
NASAW00013050,18/6/1959,Male
NASAW00013051,26/5/1960,Male
NASAW00013052,10/5/9999,Male
NASAW00013053,12/11/1980,Male
NASAW00013054,16/3/1981,Male
NASAW00013055,17/4/1981,Male
NASAW00013056,22/3/1981,Female
NASAW00013057,18/12/1980,Female
NASAW00013058,12/2/1981,Male
NASAW00013059,14/8/1980,Male
NASAW00013060,5/6/1986,Male
NASAW00013061,29/11/1979,Male
NASAW00013062,6/1/1980,Male
NASAW00013063,10/3/1985,Female
NASAW00013064,13/3/1985,Male
NASAW00013065,19/10/1979,Female
NASAW00013066,24/3/1980,Male
NASAW00013067,24/5/1980,Female
NASAW00013068,14/2/1985,Female
NASAW00013069,16/2/1980,Male
NASAW00013070,17/4/1979,Female
NASAW00013071,8/11/1978,Male
NASAW00013072,29/10/1984,Female
NASAW00013073,11/7/1981,Female
NASAW00013074,12/3/1982,Female
NASAW00013075,8/10/1960,Male
NASAW00013076,30/8/1960,Male
NASAW00013077,21/5/1967,Male
NASAW00013078,21/7/1961,Female
NASAW00013079,26/8/1962,Male
NASAW00013080,14/5/1968,Female
NASAW00013081,21/9/1962,Female
NASAW00013082,24/8/1963,Male
NASAW00013083,26/8/1978,Female
NASAW00013084,12/4/1980,Male
NASAW00013085,16/9/1979,Male
NASAW00013086,17/11/1979,Male
NASAW00013087,7/5/1980,Male
NASAW00013088,23/8/1979,Female
NASAW00013089,28/2/1965,Female
NASAW00013090,28/11/1964,Male
NASAW00013091,7/8/1970,Female
NASAW00013092,31/10/1977,Male
NASAW00013093,14/4/1963,Female
NASAW00013094,19/3/1968,Male
NASAW00013095,21/1/1963,Male
NASAW00013096,19/4/1963,Male
NASAW00013097,10/5/1968,Male
NASAW00013098,6/4/1963,Male
NASAW00013099,1/2/1963,Male
NASAW00013100,12/7/1968,Male
NASAW00013101,6/4/1963,Male
NASAW00013102,19/3/1963,Female
NASAW00013103,29/1/1969,Male
NASAW00013104,8/4/1974,Male
NASAW00013105,30/12/1967,Female
NASAW00013106,4/7/1973,Female
NASAW00013107,8/1/1968,Female
NASAW00013108,24/6/1968,Male
NASAW00013109,8/8/1973,Female
NASAW00013110,8/12/1972,Male
NASAW00013111,13/2/1967,Female
NASAW00013112,16/1/1978,Female
NASAW00013113,11/1/1972,Male
NASAW00013114,29/10/1971,Female
NASAW00013115,23/3/1983,Male
NASAW00013116,5/11/1971,Male
NASAW00013117,11/7/1971,Female
NASAW00013118,5/1/1966,Female
NASAW00013119,10/5/1971,Female
NASAW00013120,5/7/1976,Male
NASAW00013121,18/3/1976,Female
NASAW00013122,30/1/1971,Female
NASAW00013123,1/5/1975,Female
NASAW00013124,29/8/1969,Male
NASAW00013125,5/7/1975,Male
NASAW00013126,3/8/1969,Female
NASAW00013127,9/6/1970,Male
NASAW00013128,20/4/1975,Female
NASAW00013129,29/11/1969,Female
NASAW00013130,22/10/1970,Male
NASAW00013131,28/2/1965,Female
NASAW00013132,20/8/1964,Male
NASAW00013133,15/2/1965,Male
NASAW00013134,29/10/1939,Female
NASAW00013135,31/1/1963,Male
NASAW00013136,12/5/1942,Female
NASAW00013137,8/8/1965,Female
NASAW00013138,9/12/1965,Female
NASAW00013139,5/2/1967,Female
NASAW00013140,8/10/1958,Female
NASAW00013141,7/4/1959,Male
NASAW00013142,19/9/1980,Male
NASAW00013143,5/8/1980,Female
NASAW00013144,24/2/1982,Female
NASAW00013145,21/7/1981,Male
NASAW00013146,12/11/1981,Female
NASAW00013147,20/2/1986,Male
NASAW00013148,29/9/1985,Male
NASAW00013149,14/2/1957,Female
NASAW00013150,8/12/1942,Female
NASAW00013151,4/6/1984,Male
NASAW00013152,16/8/1983,Female
NASAW00013153,16/4/1985,Male
NASAW00013154,18/1/1985,Male
NASAW00013155,7/4/1950,Male
NASAW00013156,3/7/1951,Male
NASAW00013157,22/8/1945,Female
NASAW00013158,11/9/1946,Female
NASAW00013159,13/4/1947,Male
NASAW00013160,6/8/1948,Male
NASAW00013161,22/10/1981,Male
NASAW00013162,20/10/1981,Female
NASAW00013163,6/9/1981,Male
NASAW00013164,1/11/1981,Female
NASAW00013165,21/3/1982,Male
NASAW00013166,10/9/1981,Male
NASAW00013167,1/1/1980,Male
NASAW00013168,16/9/1979,Female
NASAW00013169,31/8/1977,Male
NASAW00013170,7/7/1977,Male
NASAW00013171,6/12/1973,Female
NASAW00013172,18/3/1974,Female
NASAW00013173,14/3/1974,Male
NASAW00013174,1/11/1973,Female
NASAW00013175,9/8/1973,Male
NASAW00013176,28/2/1973,Male
NASAW00013177,26/8/1968,Female
NASAW00013178,15/10/1968,Female
NASAW00013179,17/12/1947,Male
NASAW00013180,22/8/1947,Female
NASAW00013181,21/6/1948,Male
NASAW00013182,14/11/1953,Male
NASAW00013183,18/1/1948,Male
NASAW00013184,23/8/1953,Male
NASAW00013185,26/6/1948,Male
NASAW00013186,23/5/1948,Male
NASAW00013187,14/2/1948,Male
NASAW00013188,20/7/1947,Male
NASAW00013189,31/3/1953,Female
NASAW00013190,9/8/1947,Male
NASAW00013191,14/7/1954,Female
NASAW00013192,12/9/1948,Male
NASAW00013193,5/11/1948,Male
NASAW00013194,23/2/1949,Male
NASAW00013195,23/5/1960,Male
NASAW00013196,29/10/1954,Female
NASAW00013197,25/6/1949,Female
NASAW00013198,14/4/1949,Female
NASAW00013199,22/12/1948,Male
NASAW00013200,6/1/1949,Female
NASAW00013201,20/2/1950,Male
NASAW00013202,17/10/1949,Female
NASAW00013203,10/10/1949,Female
NASAW00013204,4/8/1955,Female
NASAW00013205,6/2/1950,Male
NASAW00013206,18/6/1956,Female
NASAW00013207,7/10/1956,Male
NASAW00013208,1/4/1951,Female
NASAW00013209,14/1/1951,Female
NASAW00013210,24/11/1950,Male
NASAW00013211,11/6/1951,Male
NASAW00013212,7/2/1951,Male
NASAW00013213,30/8/1951,Female
NASAW00013214,19/6/1952,Male
NASAW00013215,29/10/1951,Female
NASAW00013216,14/3/1952,Female
NASAW00013217,22/4/1957,Male
NASAW00013218,28/7/1951,Female
NASAW00013219,22/8/1951,Male
NASAW00013220,25/1/1952,Female
NASAW00013221,4/6/1952,Female
NASAW00013222,30/8/1951,Male
NASAW00013223,6/1/1952,Male
NASAW00013224,11/8/1951,Female
NASAW00013225,19/12/1952,Male
NASAW00013226,9/9/1952,Female
NASAW00013227,21/11/1952,Male
NASAW00013228,28/10/1952,Male
NASAW00013229,2/2/1953,Male
NASAW00013230,7/9/1952,Female
NASAW00013231,10/4/1954,Female
NASAW00013232,19/4/1954,Female
NASAW00013233,4/6/1954,Male
NASAW00013234,19/8/1959,Male
NASAW00013235,22/3/1954,Male
NASAW00013236,22/11/1953,Male
NASAW00013237,20/10/1953,Male
NASAW00013238,25/4/1954,Male
NASAW00013239,11/4/1960,Male
NASAW00013240,5/11/1960,Male
NASAW00013241,1/1/1961,Female
NASAW00013242,5/5/1961,Male
NASAW00013243,12/5/1957,Female
NASAW00013244,20/4/1957,Male
NASAW00013245,21/12/1956,Male
NASAW00013246,25/7/1957,Female
NASAW00013247,11/5/1963,Male
NASAW00013248,3/9/1957,Female
NASAW00013249,18/1/1958,Male
NASAW00013250,19/2/1963,Female
NASAW00013251,12/8/1974,Male
NASAW00013252,31/12/1963,Female
NASAW00013253,13/11/1974,Female
NASAW00013254,23/7/1963,Female
NASAW00013255,23/9/1962,Male
NASAW00013256,13/5/1963,Female
NASAW00013257,3/1/1963,Male
NASAW00013258,31/8/1962,Female
NASAW00013259,7/5/1963,Male
NASAW00013260,8/4/1963,Male
NASAW00013261,3/10/1962,Female
NASAW00013262,20/4/1963,Male
NASAW00013263,22/10/1961,Female
NASAW00013264,20/11/1961,Female
NASAW00013265,21/7/1961,Male
NASAW00013266,11/1/1962,Male
NASAW00013267,2/9/1937,Male
NASAW00013268,21/1/1938,Female
NASAW00013269,5/9/1937,Female
NASAW00013270,26/4/1939,Male
NASAW00013271,19/6/1939,Male
NASAW00013272,12/10/1938,Female
NASAW00013273,1/8/1938,Female
NASAW00013274,1/10/1970,Male
NASAW00013275,24/2/1971,Male
NASAW00013276,16/3/1976,Female
NASAW00013277,22/2/1971,Male
NASAW00013278,9/5/1971,Male
NASAW00013279,2/5/1971,Female
NASAW00013280,12/2/1981,Female
NASAW00013281,14/5/1975,Male
NASAW00013282,8/12/1980,Female
NASAW00013283,19/6/1962,Male
NASAW00013284,7/2/1962,Female
NASAW00013285,7/12/1968,Female
NASAW00013286,6/10/1974,Female
NASAW00013287,2/3/1969,Male
NASAW00013288,15/3/1980,Male
NASAW00013289,22/8/1978,Female
NASAW00013290,30/12/1967,Male
NASAW00013291,25/8/1967,Female
NASAW00013292,8/8/1973,Female
NASAW00013293,10/1/1968,Female
NASAW00013294,9/12/1966,Female
NASAW00013295,19/10/1972,Female
NASAW00013296,18/11/1966,Male
NASAW00013297,20/12/1966,Male
NASAW00013298,23/7/1972,Female
NASAW00013299,14/4/1967,Female
NASAW00013300,3/9/1966,Male
NASAW00013301,30/1/1966,Female
NASAW00013302,14/2/1961,Male
NASAW00013303,30/9/1966,Male
NASAW00013304,24/6/1961,Female
NASAW00013305,18/9/1971,Male
NASAW00013306,27/5/1961,Female
NASAW00013307,9/11/1940,Female
NASAW00013308,15/9/1941,Female
NASAW00013309,18/5/1947,Female
NASAW00013310,18/5/1966,Male
NASAW00013311,23/9/1965,Female
NASAW00013312,17/11/1965,Female
NASAW00013313,7/9/1971,Female
NASAW00013314,31/1/1966,Male
NASAW00013315,1/10/1959,Male
NASAW00013316,15/10/1959,Male
NASAW00013317,8/3/1960,Male
NASAW00013318,25/8/1959,Female
NASAW00013319,30/8/1959,Male
NASAW00013320,15/11/1958,Female
NASAW00013321,18/4/1959,Female
NASAW00013322,19/11/1958,Female
NASAW00013323,19/9/1958,Male
NASAW00013324,20/3/1943,Female
NASAW00013325,4/7/1943,Male
NASAW00013326,13/2/1944,Male
NASAW00013327,8/1/1944,Female
NASAW00013328,13/1/1945,Male
NASAW00013329,1/9/1944,Male
NASAW00013330,1/5/1945,Female
NASAW00013331,21/5/1945,Female
NASAW00013332,2/4/1946,Male
NASAW00013333,12/8/1945,Female
NASAW00013334,18/10/1945,Female
NASAW00013335,17/2/1951,Female
NASAW00013336,20/4/1946,Female
NASAW00013337,5/5/1953,Female
NASAW00013338,8/8/1953,Female
NASAW00013339,19/7/1947,Female
NASAW00013340,31/10/1947,Female
NASAW00013341,14/3/1948,Male
NASAW00013342,15/12/1947,Male
NASAW00013343,21/9/1953,Female
NASAW00013344,10/3/1948,Female
NASAW00013345,30/8/1947,Male
NASAW00013346,22/11/1948,Male
NASAW00013347,1/7/1948,Female
NASAW00013348,18/8/1948,Male
NASAW00013349,4/4/1949,Female
NASAW00013350,2/3/1949,Male
NASAW00013351,25/10/1949,Female
NASAW00013352,3/3/1955,Male
NASAW00013353,22/9/1955,Female
NASAW00013354,8/11/1955,Male
NASAW00013355,24/3/1950,Male
NASAW00013356,4/11/1950,Female
NASAW00013357,27/3/1951,Male
NASAW00013358,13/12/1950,Female
NASAW00013359,2/3/1951,Male
NASAW00013360,3/7/1951,Female
NASAW00013361,29/2/1952,Male
NASAW00013362,8/8/1962,Female
NASAW00013363,14/12/1951,Female
NASAW00013364,1/4/1952,Female
NASAW00013365,21/9/1957,Male
NASAW00013366,6/5/1957,Male
NASAW00013367,11/10/1952,Female
NASAW00013368,18/12/1969,Male
NASAW00013369,13/2/1953,Female
NASAW00013370,19/3/1959,Male
NASAW00013371,17/11/1959,Female
NASAW00013372,28/5/1954,Male
NASAW00013373,1/9/1953,Female
NASAW00013374,17/5/1959,Male
NASAW00013375,9/10/1953,Male
NASAW00013376,31/8/1959,Male
NASAW00013377,13/9/1953,Male
NASAW00013378,14/9/1959,Female
NASAW00013379,11/11/1954,Female
NASAW00013380,24/4/1955,Female
NASAW00013381,18/3/1960,Female
NASAW00013382,1/2/1960,Male
NASAW00013383,29/9/1961,Female
NASAW00013384,23/4/1956,Male
NASAW00013385,26/5/1956,Female
NASAW00013386,26/7/1955,Male
NASAW00013387,18/9/1955,Female
NASAW00013388,11/12/1955,Male
NASAW00013389,19/5/1956,Female
NASAW00013390,23/11/1955,Female
NASAW00013391,26/8/1956,Female
NASAW00013392,30/10/1956,Male
NASAW00013393,15/10/1956,Male
NASAW00013394,11/9/1956,Male
NASAW00013395,11/1/1957,Male
NASAW00013396,24/12/1956,Male
NASAW00013397,4/4/1962,Male
NASAW00013398,12/9/1973,Male
NASAW00013399,17/9/1956,Male
NASAW00013400,8/8/1962,Female
NASAW00013401,18/2/1963,Female
NASAW00013402,25/9/1957,Male
NASAW00013403,30/10/1957,Female
NASAW00013404,9/3/1975,Male
NASAW00013405,4/4/1963,Male
NASAW00013406,5/7/1962,Male
NASAW00013407,6/4/1963,Female
NASAW00013408,6/10/1962,Female
NASAW00013409,22/3/1966,Male
NASAW00013410,18/5/1961,Female
NASAW00013411,30/12/1960,Female
NASAW00013412,12/4/1961,Male
NASAW00013413,18/5/1938,Male
NASAW00013414,29/12/1938,Male
NASAW00013415,4/10/1938,Male
NASAW00013416,16/11/1944,Male
NASAW00013417,7/9/2050,Male
NASAW00013418,1/12/1970,Male
NASAW00013419,21/12/1970,Female
NASAW00013420,30/1/1971,Female
NASAW00013421,21/12/1970,Female
NASAW00013422,13/3/1982,Female
NASAW00013423,3/9/1969,Male
NASAW00013424,16/3/1981,Female
NASAW00013425,3/1/1970,Male
NASAW00013426,10/12/1969,Female
NASAW00013427,8/3/1975,Male
NASAW00013428,9/6/1970,Male
NASAW00013429,3/8/1969,Female
NASAW00013430,7/11/1980,Male
NASAW00013431,31/1/1962,Male
NASAW00013432,14/6/1978,Male
NASAW00013433,8/9/1961,Female
NASAW00013434,3/6/1940,Female
NASAW00013435,16/3/1940,Female
NASAW00013436,3/7/1968,Female
NASAW00013437,22/8/1974,Male
NASAW00013438,21/4/1969,Female
NASAW00013439,12/9/1968,Male
NASAW00013440,14/2/1973,Female
NASAW00013441,10/5/1973,Male
NASAW00013442,29/2/1968,Female
NASAW00013443,7/1/1968,Female
NASAW00013444,2/11/1967,Female
NASAW00013445,1/2/1968,Male
NASAW00013446,7/10/1967,Female
NASAW00013447,1/11/1967,Female
NASAW00013448,10/1/1968,Female
NASAW00013449,16/12/1966,Male
NASAW00013450,14/7/1972,Female
NASAW00013451,23/6/1972,Female
NASAW00013452,10/9/1966,Female
NASAW00013453,8/11/1966,Female
NASAW00013454,17/8/1966,Male
NASAW00013455,6/8/1972,Female
NASAW00013456,20/1/1961,Female
NASAW00013457,4/8/1960,Male
NASAW00013458,2/3/1961,Female
NASAW00013459,13/1/1961,Male
NASAW00013460,20/3/1960,Female
NASAW00013461,29/8/1940,Male
NASAW00013462,7/11/1947,Male
NASAW00013463,1/2/1942,Female
NASAW00013464,8/5/1942,Female
NASAW00013465,4/7/1941,Female
NASAW00013466,18/12/1965,Male
NASAW00013467,2/1/1966,Male
NASAW00013468,2/3/1966,Female
NASAW00013469,9/4/1966,Male
NASAW00013470,16/6/1966,Female
NASAW00013471,30/9/1965,Male
NASAW00013472,8/2/1960,Male
NASAW00013473,2/9/1959,Male
NASAW00013474,22/12/1959,Female
NASAW00013475,2/11/1959,Male
NASAW00013476,18/2/1960,Male
NASAW00013477,26/12/1959,Female
NASAW00013478,4/11/1959,Female
NASAW00013479,19/4/1964,Female
NASAW00013480,10/8/1958,Female
NASAW00013481,3/1/1959,Male
NASAW00013482,16/9/1963,Female
NASAW00013483,8/3/1958,Male
NASAW00013484,6/12/1942,Male
NASAW00013485,24/4/1943,Male
NASAW00013486,9/1/1943,Female
NASAW00013487,6/2/1943,Female
NASAW00013488,13/12/1943,Female
NASAW00013489,10/2/1945,Female
NASAW00013490,15/10/1944,Male
NASAW00013491,2/12/1944,Female
NASAW00013492,1/9/1945,Male
NASAW00013493,7/5/1970,Female
NASAW00013494,2/9/1967,Male
NASAW00013495,2/4/1968,Male
NASAW00013496,20/11/1967,Male
NASAW00013497,23/9/1966,Female
NASAW00013498,7/10/1967,Male
NASAW00013499,2/9/1967,Female
NASAW00013500,24/1/1964,Female
NASAW00013501,3/10/1963,Male
NASAW00013502,17/8/1963,Female
NASAW00013503,14/10/1968,Male
NASAW00013504,14/9/1961,Female
NASAW00013505,15/7/1961,Female
NASAW00013506,5/2/1972,Male
NASAW00013507,13/4/1961,Female
NASAW00013508,6/2/1943,Female
NASAW00013509,4/3/1943,Male
NASAW00013510,12/5/1951,Male
NASAW00013511,1/11/1946,Male
NASAW00013512,28/3/1947,Female
NASAW00013513,8/3/1947,Female
NASAW00013514,11/8/1947,Female
NASAW00013515,1/1/1948,Female
NASAW00013516,16/8/1947,Male
NASAW00013517,7/11/1947,Male
NASAW00013518,11/1/1985,Male
NASAW00013519,1/4/1984,Male
NASAW00013520,8/8/1983,Female
NASAW00013521,25/7/1983,Female
NASAW00013522,23/5/1983,Male
NASAW00013523,3/5/1982,Female
NASAW00013524,8/2/1984,Female
NASAW00013525,9/8/1983,Female
NASAW00013526,21/1/1984,Female
NASAW00013527,15/1/1983,Female
NASAW00013528,10/3/1983,Female
NASAW00013529,30/11/1982,Female
NASAW00013530,24/3/1949,Female
NASAW00013531,10/9/1966,Male
NASAW00013532,12/4/1972,Female
NASAW00013533,18/11/1972,Male
NASAW00013534,14/1/1967,Female
NASAW00013535,9/12/1965,Male
NASAW00013536,10/11/1975,Female
NASAW00013537,8/4/1965,Female
NASAW00013538,20/2/1976,Female
NASAW00013539,11/10/1964,Male
NASAW00013540,30/8/1976,Female
NASAW00013541,9/2/1966,Female
NASAW00013542,23/5/1969,Female
NASAW00013543,30/1/1964,Male
NASAW00013544,3/12/1981,Female
NASAW00013545,14/12/1975,Male
NASAW00013546,19/1/1976,Male
NASAW00013547,7/2/1980,Female
NASAW00013548,25/3/1976,Female
NASAW00013549,15/10/1974,Male
NASAW00013550,29/11/1974,Male
NASAW00013551,3/6/1975,Male
NASAW00013552,30/8/1974,Male
NASAW00013553,14/10/1980,Female
NASAW00013554,14/5/1975,Female
NASAW00013555,9/9/1980,Female
NASAW00013556,13/5/1975,Female
NASAW00013557,22/1/1975,Female
NASAW00013558,18/6/1980,Female
NASAW00013559,15/12/1974,Female
NASAW00013560,12/8/1980,Male
NASAW00013561,4/2/1975,Male
NASAW00013562,12/1/1975,Male
NASAW00013563,29/1/1975,Male
NASAW00013564,22/9/1957,Female
NASAW00013565,12/9/1973,Female
NASAW00013566,23/12/1956,Female
NASAW00013567,24/3/1957,Female
NASAW00013568,1/11/1956,Male
NASAW00013569,10/8/1979,Male
NASAW00013570,23/12/1973,Male
NASAW00013571,4/9/1979,Male
NASAW00013572,11/3/1974,Male
NASAW00013573,3/6/1974,Male
